Ticker,Full_Ticker,Name,Sector,Industry_GICS,Index_Membership,Market_Cap,Net_Debt,Minority_Interest,EV,EBITDA,Net_Income,Equity,Avg_EBITDA_Margin_Forecast_10y,EBITDA_Forecast_CAGR_10y,Avg_Net_Income_Margin_Forecast_10y,Net_Income_Forecast_CAGR_10y,ROE,Beta_5y,Net_Debt_perc_EV,EV_TTM_EBITDA,Market_Cap_TTM_Net_Income,Market_Cap_BV_Equity
AAPL,NASDAQGS:AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Dow Jones Composite Average, Dow Jones Industrial Average, Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 2,242,198 ","-69,552 ", -   ," 2,172,646 "," 77,344 "," 57,411 "," 65,339 ",29%,4%,21%,4%,74%, 1.30 ,-3%,28.1, 39.1 , 34.3 
AMZN,NASDAQGS:AMZN,"Amazon.com, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Discretionary Sector"," 1,608,875 "," 28,412 ", -   ," 1,637,287 "," 43,708 "," 17,377 "," 82,775 ",18%,15%,8%,18%,25%, 1.20 ,2%,37.5, 92.6 , 19.4 
MSFT,NASDAQGS:MSFT,Microsoft Corporation,Information Technology,Software,"Dow Jones Composite Average, Dow Jones Industrial Average, Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 1,693,097 ","-54,733 ", -   ," 1,638,364 "," 68,123 "," 47,496 "," 123,392 ",48%,5%,33%,5%,41%, 0.82 ,-3%,24.1, 35.6 , 13.7 
GOOG,NASDAQGS:GOOG,Alphabet Inc.,Communication Services,Interactive Media & Services,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 1,164,684 ","-105,501 ", -   ," 1,059,183 "," 48,075 "," 35,713 "," 212,920 ",38%,11%,21%,8%,18%, 1.00 ,-10%,22.0, 32.6 , 5.5 
FB,NASDAQGS:FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 760,750 ","-44,476 ", -   ," 716,274 "," 30,221 "," 25,276 "," 117,731 ",53%,12%,31%,11%,24%, 1.19 ,-6%,23.7, 30.1 , 6.5 
BRK.B,NYSE:BRK.B,Berkshire Hathaway Inc.,Financials,Diversified Financial Services,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Financial Sector"," 522,169 ","-38,032 "," 4,060 "," 488,197 "," 71,545 "," 35,845 "," 419,215 ",17%,-7%,9%,-9%,9%, 0.87 ,-8%,6.8, 14.6 , 1.2 
WMT,NYSE:WMT,Walmart Inc.,Consumer Staples,Food & Staples Retailing,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Staples Sector"," 407,983 "," 54,875 "," 6,073 "," 468,931 "," 38,024 "," 19,742 "," 87,504 ",6%,3%,3%,3%,26%, 0.44 ,12%,12.3, 20.7 , 4.7 
V,NYSE:V,Visa Inc.,Information Technology,IT Services,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 481,105 "," 4,599 ", -   ," 485,704 "," 14,892 "," 10,866 "," 36,210 ",73%,6%,55%,7%,35%, 0.96 ,1%,32.6, 44.3 , 13.3 
TSLA,NASDAQGS:TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000"," 606,979 ", 632 ," 1,469 "," 609,080 "," 4,019 ", 556 ," 17,500 ",22%,23%,13%,NM,5%, 2.15 ,0%,151.6," 1,091.7 ", 34.7 
JNJ,NYSE:JNJ,Johnson & Johnson,Healthcare,Pharmaceuticals,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 402,042 "," 6,977 ", -   ," 409,019 "," 27,264 "," 16,986 "," 64,473 ",35%,3%,28%,7%,28%, 0.68 ,2%,15.0, 23.7 , 6.2 
